,,,,,
,ID,Shop,Category,Secondary,Comments
,2507,Frozen Queen Shop,Seasonal Shop,Merge Shop,Previously Generosity Shop 3.0
,2508,Grimskull's Infinity,Normal Shop,,Infinity Only
,2509,DawnSanctum AC Shop,AC Shop,,
,2510,Arkaries Merge,Merge Shop,,
,2511,2024 Holiday AP Bonus,Promo Shop,,
,2512,,No Shop,,
,2513,2025 Calendar,Promo Shop,,
,2514,2025 Calendar Collector,Promo Shop,,
,2515,Coloring Book of Lore,Promo Shop,,
,2516,Twas the Knight Before Frost,Staff Shop,,
,2517,Argento's Shop,Seasonal Shop,Merge Shop,
,2518,Frostval 2024 Collection,Item Shop,AC Shop,Requires 89759
,2519,Magician's Shop,Merge Shop,,
,2520,Deleuze Tundra Merge shop,Merge Shop,,
,2521,LQS Northlands Warlord,Promo Shop,,LQS
,2522,LQS Ice Storm Invoker,Promo Shop,,LQS
,2523,LQS Midnight Winter Ruins,Promo Shop,,LQS
,2524,LQS Midnight Winter Ruins Member,Promo Shop,,LQS
,2525,LQS Cheery Moglin Trio,Promo Shop,,LQS
,2526,Void Brawler,Badge Shop,,
,2527,ShadowSnake Warrior,Badge Shop,,
,2528,Underworld Tyrant,Badge Shop,,
,2529,Plate of the Risen,Badge Shop,,
,2530,Steampunk Mage,Badge Shop,,
,2531,Photon Sentinel,Badge Shop,,
,2532,Celestial Centaur,Badge Shop,,
,2533,Mythic Elemental Warrior,Badge Shop,,
,2534,SkullCrusher Naval Commander,Badge Shop,,
,2535,Champion of Celestial Light,Badge Shop,,
,2536,November 2025 Bonus Pack,No Shop,,
,2537,December 2025 Bonus Pack,No Shop,,
,2538,Holiday Cookie Sword,Badge Shop,,
,2539,BattleTech Anarchist,Item Shop,AC Shop,Requires 90436
,2540,Nulgath 2025 Collection,Item Shop,AC Shop,Requires 91245
,2541,Frostval 2024 Gifting Tier 1,Badge Shop,,
,2542,Frostval 2024 Gifting Tier 2,Badge Shop,,
,2543,Frostval 2024 Gifting Tier 3,Badge Shop,,
,2544,Frostval 2024 Gifting Tier 4,Badge Shop,,
,2545,Frostval 2024 Gifting Tier 5,Badge Shop,,
,2546,Frostval 2024 Gifting Tier 6,Badge Shop,,
,2547,Frostval 2024 Gifting Tier 7,Badge Shop,,
,2548,BallyCool At Home,Badge Shop,,
,2549,Atlas Griffon House Guards,House Shop,AC Shop,
,2550,XXV Nulgath Nation,Promo Shop,,
,2551,XXV Undead Legion Bundle,Promo Shop,,
,2552,XXV ShadowSythe Bundle,Staff Shop,,
,2553,XXV ShadowSythe Bundle,Staff Shop,,
,2554,XXV Card Game Bundle,Staff Shop,,
,2555,HeroMart TBD Bundle 1,Staff Shop,,
,2556,Quest Receiver Relationship Goals,Promo Shop,,
,2557,Astro Seer Shop,Merge Shop,,
,2558,Astro Voyager AC Shop,AC Shop,,
,2559,Yokai Hunt 2025,Seasonal Shop,Merge Shop,
,2560,Big Daddy's Wardrobe,Seasonal Shop,Merge Shop,
,2561,Infernal Paradise Merge,Merge Shop,,
,2562,Infernal Celestial Finale,Merge Shop,,
,2563,Library's Lost and Found,Merge Shop,,
,2564,Atlas War Trophies,Merge Shop,,
,2565,Atlas Dowry Treasury,Merge Shop,,
,2566,Atlas Dowry House Treasury,House Shop,,
,2567,Dage 2025 Collection,Item Shop,AC Shop,Requires 91351
,2568,Atlas Falls Gear,Merge Shop,,
,2569,Goated Shop,Seasonal Shop,AC Shop,
,2570,Pizza Guy's Shop,AC Shop,,
,2571,Grenwog Warren's Shop,Seasonal Shop,Merge Shop,
,2572,Harley's Shop,Merge Shop,,
,2573,Dragon Hunt Findings,Reputation Shop,,
,2574,DragonRune Alliance,AC Shop,,
,2575,AE-25's Loot Merge,Seasonal Shop,Merge Shop,
,2576,Bocklin Grove,Merge Shop,,
,2577,Bocklin Armory,Merge Shop,,
,2578,Bocklin Treasury,Merge Shop,,
,2579,Bocklin AC Treasury,AC Shop,,
,2580,Intergalactic Gifts,AC Shop,,
,2581,Neon Oni Mini Collection,Item Shop,AC Shop,Requires 92510
,2582,Quiddity's Shop,AC Shop,,
,2583,Head of the Void Shop,Item Shop,AC Shop,Requires 93833
,2584,,Unknown Shop,,
,2585,Merge Portals,House Shop,Merge Shop,
,2586,Discovery Portals,House Shop,,
,2587,AC Portals,House Shop,AC Shop,
,2588,Adepti's Pslams,Seasonal Shop,Merge Shop,
,2589,Noxus' War Spoils,Merge Shop,,
,2590,Grimskull's War Spoils,Merge Shop,,
,2591,Colossal Wares,Seasonal Shop,Merge Shop,
,2592,Festival of Victors Shop,Merge Shop,,
,2593,Gramiel's Merge,Merge Shop,,
,2594,Victors Reward Shop,Merge Shop,,
,2595,Popcorn Shop,AC Shop,,
,2596,DeepSea Collection,Item Shop,AC Shop,Requires 90738
,2597,Molten Mayhem Collection,Item Shop,AC Shop,Requires 94554
,2598,Starhunt Merge Shop,Merge Shop,,
,2599,Quibble's Molten Shop,Seasonal Shop,,
,2600,WhiteTigerPoint Shop,Merge Shop,,
,2601,,Unknown Shop,,
,2602,Magni's Shop,Merge Shop,,
,2603,2025 Timelock Key,Item Shop,,Requires 94810
,2604,,Unknown Shop,,
,2605,,Unknown Shop,,
,2606,,Unknown Shop,,
,2607,Castle Whistler Spoils,Merge Shop,,
,2608,,Unknown Shop,,
,2609,LQS Warforged IgnisKnight,Promo Shop,,LQS
,2610,LQS OniSlayer Combo,Promo Shop,,LQS
,2611,LQS Yokai OniSlayer,Promo Shop,,LQS
,2612,LQS Hollowborn OniSlayer,Promo Shop,,LQS
,2613,LQS Paladin Ascendant,Promo Shop,,LQS
,2614,LQS Summer Slayer Gear,Promo Shop,,LQS
,2615,Forge Maleno,Merge Shop,,
,2616,Thelima Jewelers,Merge Shop,,
,2617,Neuling Welcome Gifts,Merge Shop,,
,2618,,Unknown Shop,,
,2619,Aiwass' Blessings,Merge Shop,,
,2620,Povo Heroico,Seasonal Shop,Merge Shop,
,2621,Pirate Plunder,Seasonal Shop,Merge Shop,
,2622,Endless Sea Collection,Item Shop,AC Shop,Requires 95010
,2623,Green Guard Pirate Rewards,Seasonal Shop,Merge Shop,
,2624,Carcossa Canteen,Merge Shop,,
,2625,17th Upholder,Badge Shop,,
,2626,Argyron's Wares,Seasonal Shop,Merge Shop,
,2627,17th Birthday Castle Party,Seasonal Shop,Merge Shop,
,2628,17th Birthday Collection,Item Shop,AC Shop,Requires 95818
,2629,Ungourdly Gear,Seasonal Shop,Merge Shop,
,2630,Alteon's Gear,AC Shop,,
,2631,Alteon's Mace,AC Shop,,
,2632,Elodea's Candy Haul,Seasonal Shop,Merge Shop,
,2633,,No Shop,,
,2634,,No Shop,,
,2635,,No Shop,,
,2636,,No Shop,,
,2637,,No Shop,,
,2638,,No Shop,,
,2639,,No Shop,,
,2640,,No Shop,,
,2641,,No Shop,,
,2642,,No Shop,,
,2643,,No Shop,,
,2644,,No Shop,,
,2645,,No Shop,,
,2646,,No Shop,,
,2647,,No Shop,,
,2648,,No Shop,,
,2649,,No Shop,,
,2650,,No Shop,,
,2651,,No Shop,,
,2652,,No Shop,,
,2653,,No Shop,,
,2654,,No Shop,,
,2655,,No Shop,,
,2656,,No Shop,,
,2657,,No Shop,,
,2658,,No Shop,,
,2659,,No Shop,,
,2660,,No Shop,,
,2661,,No Shop,,
,2662,,No Shop,,
,2663,,No Shop,,
,2664,,No Shop,,
,2665,,No Shop,,
,2666,,No Shop,,
,2667,,No Shop,,
,2668,,No Shop,,
,2669,,No Shop,,
,2670,,No Shop,,
,2671,,No Shop,,
,2672,,No Shop,,
,2673,,No Shop,,
,2674,,No Shop,,
,2675,,No Shop,,
,2676,,No Shop,,
,2677,,No Shop,,
,2678,,No Shop,,
,2679,,No Shop,,
,2680,,No Shop,,
,2681,,No Shop,,
,2682,,No Shop,,
,2683,,No Shop,,
,2684,,No Shop,,
,2685,,No Shop,,
,2686,,No Shop,,
,2687,,No Shop,,
,2688,,No Shop,,
,2689,,No Shop,,
,2690,,No Shop,,
,2691,,No Shop,,
,2692,,No Shop,,
,2693,,No Shop,,
,2694,,No Shop,,
,2695,,No Shop,,
,2696,,No Shop,,
,2697,,No Shop,,
,2698,,No Shop,,
,2699,,No Shop,,
,2700,,No Shop,,
,2701,,No Shop,,
,2702,,No Shop,,
,2703,,No Shop,,
,2704,,No Shop,,
,2705,,No Shop,,
,2706,,No Shop,,
,2707,,No Shop,,
,2708,,No Shop,,
,2709,,No Shop,,
,2710,,No Shop,,
,2711,,No Shop,,
,2712,,No Shop,,
,2713,,No Shop,,
,2714,,No Shop,,
,2715,,No Shop,,
,2716,,No Shop,,
,2717,,No Shop,,
,2718,,No Shop,,
,2719,,No Shop,,
,2720,,No Shop,,
,2721,,No Shop,,
,2722,,No Shop,,
,2723,,No Shop,,
,2724,,No Shop,,
,2725,,No Shop,,
,2726,,No Shop,,
,2727,,No Shop,,
,2728,,No Shop,,
,2729,,No Shop,,
,2730,,No Shop,,
,2731,,No Shop,,
,2732,,No Shop,,
,2733,,No Shop,,
,2734,,No Shop,,
,2735,,No Shop,,
,2736,,No Shop,,
,2737,,No Shop,,
,2738,,No Shop,,
,2739,,No Shop,,
,2740,,No Shop,,
,2741,,No Shop,,
,2742,,No Shop,,
,2743,,No Shop,,
,2744,,No Shop,,
,2745,,No Shop,,
,2746,,No Shop,,
,2747,,No Shop,,
,2748,,No Shop,,
,2749,,No Shop,,
,2750,,No Shop,,
,2751,,No Shop,,
,2752,,No Shop,,
,2753,,No Shop,,
,2754,,No Shop,,
,2755,,No Shop,,
,2756,,No Shop,,
,2757,,No Shop,,
,2758,,No Shop,,
,2759,,No Shop,,
,2760,,No Shop,,
,2761,,No Shop,,
,2762,,No Shop,,
,2763,,No Shop,,
,2764,,No Shop,,
,2765,,No Shop,,
,2766,,No Shop,,
,2767,,No Shop,,
,2768,,No Shop,,
,2769,,No Shop,,
,2770,,No Shop,,
,2771,,No Shop,,
,2772,,No Shop,,
,2773,,No Shop,,
,2774,,No Shop,,
,2775,,No Shop,,
,2776,,No Shop,,
,2777,,No Shop,,
,2778,,No Shop,,
,2779,,No Shop,,
,2780,,No Shop,,
,2781,,No Shop,,
,2782,,No Shop,,
,2783,,No Shop,,
,2784,,No Shop,,
,2785,,No Shop,,
,2786,,No Shop,,
,2787,,No Shop,,
,2788,,No Shop,,
,2789,,No Shop,,
,2790,,No Shop,,
,2791,,No Shop,,
,2792,,No Shop,,
,2793,,No Shop,,
,2794,,No Shop,,
,2795,,No Shop,,
,2796,,No Shop,,
,2797,,No Shop,,
,2798,,No Shop,,
,2799,,No Shop,,
,2800,,No Shop,,
,2801,,No Shop,,
,2802,,No Shop,,
,2803,,No Shop,,
,2804,,No Shop,,
,2805,,No Shop,,
,2806,,No Shop,,
,2807,,No Shop,,
,2808,,No Shop,,
,2809,,No Shop,,
,2810,,No Shop,,
,2811,,No Shop,,
,2812,,No Shop,,
,2813,,No Shop,,
,2814,,No Shop,,
,2815,,No Shop,,
,2816,,No Shop,,
,2817,,No Shop,,
,2818,,No Shop,,
,2819,,No Shop,,
,2820,,No Shop,,
,2821,,No Shop,,
,2822,,No Shop,,
,2823,,No Shop,,
,2824,,No Shop,,
,2825,,No Shop,,
,2826,,No Shop,,
,2827,,No Shop,,
,2828,,No Shop,,
,2829,,No Shop,,
,2830,,No Shop,,
,2831,,No Shop,,
,2832,,No Shop,,
,2833,,No Shop,,
,2834,,No Shop,,
,2835,,No Shop,,
,2836,,No Shop,,
,2837,,No Shop,,
,2838,,No Shop,,
,2839,,No Shop,,
,2840,,No Shop,,
,2841,,No Shop,,
,2842,,No Shop,,
,2843,,No Shop,,
,2844,,No Shop,,
,2845,,No Shop,,
,2846,,No Shop,,
,2847,,No Shop,,
,2848,,No Shop,,
,2849,,No Shop,,
,2850,,No Shop,,
,2851,,No Shop,,
,2852,,No Shop,,
,2853,,No Shop,,
,2854,,No Shop,,
,2855,,No Shop,,
,2856,,No Shop,,
,2857,,No Shop,,
,2858,,No Shop,,
,2859,,No Shop,,
,2860,,No Shop,,
,2861,,No Shop,,
,2862,,No Shop,,
,2863,,No Shop,,
,2864,,No Shop,,
,2865,,No Shop,,
,2866,,No Shop,,
,2867,,No Shop,,
,2868,,No Shop,,
,2869,,No Shop,,
,2870,,No Shop,,
,2871,,No Shop,,
,2872,,No Shop,,
,2873,,No Shop,,
,2874,,No Shop,,
,2875,,No Shop,,
,2876,,No Shop,,
,2877,,No Shop,,
,2878,,No Shop,,
,2879,,No Shop,,
,2880,,No Shop,,
,2881,,No Shop,,
,2882,,No Shop,,
,2883,,No Shop,,
,2884,,No Shop,,
,2885,,No Shop,,
,2886,,No Shop,,
,2887,,No Shop,,
,2888,,No Shop,,
,2889,,No Shop,,
,2890,,No Shop,,
,2891,,No Shop,,
,2892,,No Shop,,
,2893,,No Shop,,
,2894,,No Shop,,
,2895,,No Shop,,
,2896,,No Shop,,
,2897,,No Shop,,
,2898,,No Shop,,
,2899,,No Shop,,
,2900,,No Shop,,
,2901,,No Shop,,
,2902,,No Shop,,
,2903,,No Shop,,
,2904,,No Shop,,
,2905,,No Shop,,
,2906,,No Shop,,
,2907,,No Shop,,
,2908,,No Shop,,
,2909,,No Shop,,
,2910,,No Shop,,
,2911,,No Shop,,
,2912,,No Shop,,
,2913,,No Shop,,
,2914,,No Shop,,
,2915,,No Shop,,
,2916,,No Shop,,
,2917,,No Shop,,
,2918,,No Shop,,
,2919,,No Shop,,
,2920,,No Shop,,
,2921,,No Shop,,
,2922,,No Shop,,
,2923,,No Shop,,
,2924,,No Shop,,
,2925,,No Shop,,
,2926,,No Shop,,
,2927,,No Shop,,
,2928,,No Shop,,
,2929,,No Shop,,
,2930,,No Shop,,
,2931,,No Shop,,
,2932,,No Shop,,
,2933,,No Shop,,
,2934,,No Shop,,
,2935,,No Shop,,
,2936,,No Shop,,
,2937,,No Shop,,
,2938,,No Shop,,
,2939,,No Shop,,
,2940,,No Shop,,
,2941,,No Shop,,
,2942,,No Shop,,
,2943,,No Shop,,
,2944,,No Shop,,
,2945,,No Shop,,
,2946,,No Shop,,
,2947,,No Shop,,
,2948,,No Shop,,
,2949,,No Shop,,
,2950,,No Shop,,
,2951,,No Shop,,
,2952,,No Shop,,
,2953,,No Shop,,
,2954,,No Shop,,
,2955,,No Shop,,
,2956,,No Shop,,
,2957,,No Shop,,
,2958,,No Shop,,
,2959,,No Shop,,
,2960,,No Shop,,
,2961,,No Shop,,
,2962,,No Shop,,
,2963,,No Shop,,
,2964,,No Shop,,
,2965,,No Shop,,
,2966,,No Shop,,
,2967,,No Shop,,
,2968,,No Shop,,
,2969,,No Shop,,
,2970,,No Shop,,
,2971,,No Shop,,
,2972,,No Shop,,
,2973,,No Shop,,
,2974,,No Shop,,
,2975,,No Shop,,
,2976,,No Shop,,
,2977,,No Shop,,
,2978,,No Shop,,
,2979,,No Shop,,
,2980,,No Shop,,
,2981,,No Shop,,
,2982,,No Shop,,
,2983,,No Shop,,
,2984,,No Shop,,
,2985,,No Shop,,
,2986,,No Shop,,
,2987,,No Shop,,
,2988,,No Shop,,
,2989,,No Shop,,
,2990,,No Shop,,
,2991,,No Shop,,
,2992,,No Shop,,
,2993,,No Shop,,
,2994,,No Shop,,
,2995,,No Shop,,
,2996,,No Shop,,
,2997,,No Shop,,
,2998,,No Shop,,
,2999,,No Shop,,
,3000,,No Shop,,
