,,,,,
,ID,Shop,Category,Secondary,Comments
,1555,Tika's Hut Shop,House Shop,,
,1556,Zifwin's Magic Shop,Normal Shop,,
,1557,Horc Merge Shop,Merge Shop,,
,1558,Dark Knight Gear Shop,Item Shop,AC Shop,Requires 42997
,1559,Unlife Insurance Bond,Merge Shop,,
,1560,Dark Knight Armor,AC Shop,,
,1561,Dage's Collection 2018,Item Shop,AC Shop,Requires 43035
,1562,Paragon Dreadnought House Shop,House Shop,,
,1563,Dage's Collection Chest,Rare Shop,,
,1564,Dragons of Ashfall,Promo Shop,,
,1565,Daibh's Merge Shop,Promo Shop,,
,1566,Legion OathKeeper T-Shirt,Promo Shop,,
,1567,Undersworn T-Shirt,Promo Shop,,
,1568,Legion Pledge Scroll,Promo Shop,,
,1569,Undersworn OathKeeper Combo,Promo Shop,,
,1570,Heroes of Lore T-Shirt,Promo Shop,,
,1571,Seraphic Order T-Shirt,Promo Shop,,
,1572,World Core Merge,Merge Shop,,
,1573,Seraphic War Chest,AC Shop,,
,1574,Seraphic War Rares,Rare Shop,,
,1575,NOOOOOOOO,Rare Shop,,
,1576,Sora's Free Shop,Normal Shop,,
,1577,Undead War Merge,Merge Shop,,
,1578,Djinn Palace House Shop,Promo Shop,House Shop,
,1579,DerpBlade of Doom,Promo Shop,,
,1580,GonnaGetcha T-Shirt,Promo Shop,,
,1581,GonnaGetcha Merge,Merge Shop,Member Shop,
,1582,Celestial Spoils Merge,Merge Shop,,
,1583,Bido's Wanderer Shop,Normal Shop,,
,1584,Terrane's Merge Shop,Merge Shop,,
,1585,Dragonslayer LoreKeeper,Merge Shop,,
,1586,Akriloth War Chest,AC Shop,,
,1587,Fire War Merge,Merge Shop,,
,1588,StarGazer,Promo Shop,,
,1589,Black Market Tickets,Rare Shop,,
,1590,LQS Fire AC,Badge Shop,,LQS
,1591,LQS Ice AC,Badge Shop,,LQS
,1592,LQS Fire Mem,Badge Shop,,LQS
,1593,LQS Ice Mem,Badge Shop,,LQS
,1594,LQS Fire Ice Weapons,Badge Shop,,LQS
,1595,Cryonos Merge,Merge Shop,,
,1596,Fire and Ice Merge,Merge Shop,,
,1597,Hydra Merge,Merge Shop,,
,1598,Treasure Chest Preview,Preview Shop,,
,1599,Valen Gear,AC Shop,,
,1600,Valen Merge,Merge Shop,,
,1601,Dragon of Light,Badge Shop,,
,1602,Guardian of Energy,Badge Shop,,
,1603,Sepulchure's Doomblade,AC Shop,,
,1604,Doom Sigil Merge,Merge Shop,AC Shop,
,1605,Ylsa's Gift Sac,Seasonal Shop,Merge Shop,
,1606,Chaos Lord Poster 2.0,Promo Shop,,
,1607,Yokai Loyalty,Normal Shop,,
,1608,Kyo's Food and Drink,Normal Shop,,
,1609,Garek's Seasonal Gear Shop,Seasonal Shop,,
,1610,September Seasonal Shop,Seasonal Shop,,
,1611,LightMage Class Token C,Item Shop,,Requires 44838
,1612,LightMage Class,AC Shop,,
,1613,LightMage Class Token A,Item Shop,,Requires 36441
,1614,LightMage Class Token B,Item Shop,,Requires 36442
,1615,2018 Pirate Collection Chest,Item Shop,,Requires 45103
,1616,2018 Pirate Collection Chest,Rare Shop,,
,1617,Nulgath's Navy Shirt,Promo Shop,,
,1618,Stygian Legion Shirt,Promo Shop,,
,1619,Evil Pirate Crew Combo,Promo Shop,,
,1620,October Seasonal Shop,Seasonal Shop,,
,1621,10th Upholder,Badge Shop,,
,1622,Chroma Candy Merge,Merge Shop,,
,1623,Master of Moglins Class,Promo Shop,,
,1624,Moglin Back-Kick,Promo Shop,,
,1625,Moglin Twilly Plush,Promo Shop,,
,1626,Moglin Zorbak Plush,Promo Shop,,
,1627,Moglin Twig Plush,Promo Shop,,
,1628,Moglin Memet Plush,Promo Shop,,
,1629,Moglin Mort Plush,Promo Shop,,
,1630,Moglin Quibble Plush,Promo Shop,,
,1631,Moglin Scurvy Plush,Promo Shop,,
,1632,Moglin Rez Plush,Promo Shop,,
,1633,Moglin Nugget Plush,Promo Shop,,
,1634,Moglin Scourge Plush,Promo Shop,,
,1635,Moglin Cupcake Plush,Promo Shop,,
,1636,Moglin Zilla Plush,Promo Shop,,
,1637,10th Birthday Rares,Rare Shop,,
,1638,ShadowScythe General Shop,AC Shop,,
,1639,ShadowScythe Honor Shop,Normal Shop,,
,1640,Zorbak's Merge Shop,Seasonal Shop,Merge Shop,
,1641,AQ3D Gear,Staff Shop,,
,1642,SDKA Gift,Item Shop,,Requires 14474
,1643,Spoils of Light,Merge Shop,,
,1644,ShadowScythe General Merge,Merge Shop,,
,1645,November Seasonal Set,Seasonal Shop,,
,1646,2019 Calendar,Promo Shop,,
,1647,10 Years Played,Badge Shop,,
,1648,9 Years Membership,Badge Shop,,
,1649,"600,000 ACs",Badge Shop,,
,1650,9th Upholder Merge,Merge Shop,,
,1651,10th Upholder Merge,Merge Shop,,
,1652,Spellsword Shop,Normal Shop,,
,1653,Sirbuh Shop,Promo Shop,,
,1654,Beleen's Seasonal Pink Gear,Seasonal Shop,,Previously Vesper's Birthday Shop
,1655,Hollowborn Evoker Gear,Item Shop,AC Shop,Requires 45926
,1656,Abyssal Angel Shadow,Item Shop,AC Shop,Requires 34850
,1657,Abyssal Angel Shadow,Item Shop,AC Shop,Requires 34584
,1658,Lich King's Bounty,Merge Shop,,
,1659,December Seasonal Set,Seasonal Shop,,
,1660,Northlands Royalty Bonus,Badge Shop,,
,1661,IceStorm Arena Merge,Merge Shop,,
,1662,IceStorm Collection,Item Shop,AC Shop,Requires 46532
,1663,Black Friday 2021 Collection Chest,Rare Shop,,
,1664,Prize Pool Tickets,Rare Shop,,
,1665,2019 Calendar Collectors,Promo Shop,,
,1666,Frostvale Barbarian,Seasonal Shop,,
,1667,Festive ArchMage LQS,Badge Shop,,LQS
,1668,Holiday Paragon 2018,Badge Shop,,LQS
,1669,Shadow Infinity Knight,Promo Shop,,
,1670,January Seasonal Shop,Seasonal Shop,,
,1671,February Seasonal Shop,Seasonal Shop,,
,1672,March Seasonal Shop,Seasonal Shop,,
,1673,April Seasonal Shop,Seasonal Shop,,
,1674,May Seasonal Shop,Seasonal Shop,,
,1675,June Seasonal Shop,Seasonal Shop,,
,1676,July Seasonal Shop,Seasonal Shop,,
,1677,August Seasonal Shop,Seasonal Shop,,
,1678,Copper Void ChronoKnight Set,Badge Shop,,
,1679,January 2019 Tier 2,Badge Shop,,
,1680,Crulon's Enchanter Gear,Normal Shop,,
,1681,OS 1st Upholder,Badge Shop,,
,1682,Frostval Helpers,Promo Shop,,Seasonal
,1683,Akiba Samurai Upgrade,Badge Shop,,
,1684,BountyHunter Armor T-Shirt,Promo Shop,,
,1685,DragonSlayer Armor T-Shirt,Promo Shop,,
,1686,Combo BountyHunter / DragonSlayer T-Shirt,Promo Shop,,
,1687,Chromium Void ChronoKnight,Item Shop,,Requires 47234
,1688,Titanium Northlands Royalty,Item Shop,,Requires 47235
,1689,Relationship Goals Shop,Promo Shop,,
,1690,Relationship Goals  - Receiver Shop,Promo Shop,,Given to those suggested by the winner of 1689
,1691,Wubbles Merge Shop,Seasonal Shop,Merge Shop,
,1692,Wubbles House Shop,Seasonal Shop,House Shop,
,1693,Dark Hand Merge,Merge Shop,,
,1694,Dark Caster Collection Chest,Item Shop,AC Shop,Requires 47576
,1695,Underworld Team Shop,Merge Shop,,
,1696,Underworld 1v1 Shop,Merge Shop,,
,1697,Dark Birthday Token Merge,Seasonal Shop,Merge Shop,
,1698,Paragon Fiend Upgrade Bonus,Badge Shop,,
,1699,Carnaval Merge,Seasonal Shop,Merge Shop,
,1700,Faerie Queen's Rep,Seasonal Shop,Reputation Shop,
,1701,Lucky Day Shop,Seasonal Shop,,
,1702,ED Poster,Promo Shop,,
,1703,Slayer vs Harbinger Print,Promo Shop,,
,1704,Pride of the Exiles Print,Promo Shop,,
,1705,Pride of the Legion Print,Promo Shop,,
,1706,ED 10th Anniversary,Normal Shop,,
,1707,Shadowvault Merge,Merge Shop,AC Shop,
,1708,April Fools 2019 Rares,Rare Shop,,
,1709,April Fools 2019 War Merge,Merge Shop,AC Shop,
,1710,Galactic Captain Upgrade Bonus,Badge Shop,,
,1711,Water War Merge,Seasonal Shop,Merge Shop,
,1712,Eerie Underworld General,Item Shop,AC Shop,Requires 47951
,1713,ShadowFlame War Chest,Staff Shop,,"Unreleased, Duplicate"
,1714,ShadowFlame AC Shop,AC Shop,,
,1715,ShadowFlame War Chest,AC Shop,,Shadow War
,1716,Infinity Titan Upgrade Bonus,Badge Shop,,
,1717,Faction Banners,House Shop,Merge Shop,
,1718,BlightSlayer Gear,Normal Shop,,
,1719,Chromium Canister,AC Shop,,
,1720,Titanium Trove,AC Shop,,
,1721,Crypto Code Gear,Rare Shop,Item Shop,Requires 48462
,1722,8-Bit Undead Slayer,Promo Shop,,
,1723,Kibbles & 8-Bits,Promo Shop,,
,1724,8-Bit Gold Member,Promo Shop,,
,1725,Pirate Queen's Booty,Normal Shop,,
,1726,Meme Shop,Rare Shop,,
,1727,NES Kickstarter Exclusive,Promo Shop,,
,1728,"Shadow Dragon Gear",Item Shop,,Requires 48624
,1729,3 Little Wolves Houses,House Shop,Merge Shop,
,1730,Doom Dragon Upgrade,Badge Shop,,
,1731,ShadowScythe House Merge,Seasonal Shop,House Shop,Merge
,1732,Jinx Shop,Normal Shop,,
,1733,Infernal Invoker,Badge Shop,,
,1734,Legion Pyromancer,Merge Shop,,
,1735,Bido Birthday 2019,Seasonal Shop,Merge Shop,
,1736,Legion Pyromancer,Badge Shop,,
,1737,Yokai Summoner LQS,Badge Shop,,LQS
,1738,Yokai Limited Time Shop,Rare Shop,,
,1739,Frostval in Yokai Rares,Rare Shop,,
,1740,Blazebringer Molten Blade Shop,Item Shop,,Requires 49204
,1741,ShadowFlame War Rares,Rare Shop,,
,1742,Stryche X Amerelle Wedding,Staff Shop,,"Unreleased, Duplicate, See 1781"
,1743,ShadowFlame War Chest,AC Shop,,Shadowgrove
,1744,Akuma Upgrade Shop,Badge Shop,,
,1745,Event Merge Shop,Rare Shop,,
,1746,Event Collection,Promo Shop,,
,1747,VIP Event Collection,Promo Shop,,
,1748,Music Fan Shop,Rare Shop,,
,1749,Arena Coin Merge,Rare Shop,Merge Shop,
,1750,Cursed Overlord,Item Shop,,Requires 49544
,1751,VIP Merge,Merge Shop,,
,1752,Event Collection Preview,Preview Shop,,
,1753,DELETE ME,Preview Shop,,Previously called VIP Collection Preview
,1754,Cysero's Item Upgrades,Staff Shop,Merge Shop,
,1755,Galactic Pirate Commander,Badge Shop,,
,1756,Dage x Faith Wedding,Rare Shop,,
,1757,Cursed Collection,Item Shop,,Requires 50102
,1758,2019 Pirate Collection Chest,Rare Shop,,
,1759,TLaPD YARRR'LY Shop,Seasonal Shop,,
,1760,12 Moglins Set,Promo Shop,,
,1761,Candied Costumes,Seasonal Shop,Merge Shop,
,1762,ShadowFlame DragonMage,Badge Shop,,
,1763,Garek's October Gear,Seasonal Shop,AC Shop,
,1764,Garek's November Gear,Seasonal Shop,AC Shop,
,1765,Garek's December Gear,Seasonal Shop,AC Shop,
,1766,Garek's January Gear,Seasonal Shop,AC Shop,
,1767,Garek's February Gear,Seasonal Shop,AC Shop,
,1768,Garek's March Gear,Seasonal Shop,AC Shop,
,1769,Garek's April Gear,Seasonal Shop,AC Shop,
,1770,Garek's May Gear,Seasonal Shop,AC Shop,
,1771,Garek's June Gear,Seasonal Shop,AC Shop,
,1772,Garek's July Gear,Seasonal Shop,AC Shop,
,1773,Garek's August Gear,Seasonal Shop,AC Shop,
,1774,Garek's September Gear,Seasonal Shop,AC Shop,
,1775,11th Upholder,Badge Shop,,
,1776,11th Anniversary Collection,Item Shop,AC Shop,Requires 50515
,1777,Bright Champion Quibble Pet's Shop,Item Shop,AC Shop,Requires 50517
,1778,Prime Champion Quibble Pet's Shop,Item Shop,AC Shop,Requires 50516
,1779,11th Anniversary Collection Chest,Rare Shop,,
,1780,Mystcroft Pet Shop,Seasonal Shop,AC Shop,
,1781,Stryche X Amerelle Wedding,Rare Shop,,
,1782,Alice in Chains VIP Collection,Promo Shop,,
,1783,Alice in Chains Special Event Collection,Promo Shop,,
,1784,Apocalyptic Werepyre,Badge Shop,,
,1785,"Achievement Tracker 750,000 AC",Badge Shop,,
,1786,10 Years Membership,Badge Shop,,
,1787,11 Years Played,Badge Shop,,
,1788,Korn VIP Merge,Promo Shop,Merge Shop,
,1789,AIC VIP Merge,Promo Shop,Merge Shop,
,1790,Artist Showcase: Bido,Normal Shop,,
,1791,Artist Showcase: Kotaro,Normal Shop,,
,1792,Artist Showcase: PP2,Normal Shop,,
,1793,Artist Showcase: Lae,Normal Shop,,
,1794,Artist Showcase: Hikari,Normal Shop,,
,1795,Artist Showcase: Ferozakh,Normal Shop,,
,1796,2020 Calendar Shop,Promo Shop,,
,1797,2020 Collector's Calendar,Promo Shop,,
,1798,Story Moglin Collection,Promo Shop,,
,1799,Epic Moglin Collection,Promo Shop,,
,1800,Black Friday 2019 Collection,Item Shop,AC Shop,Requires 51440
,1801,Black Friday 2019 Rares,Rare Shop,,
,1802,Technocaster Merge,Seasonal Shop,Merge Shop,
,1803,Dream Items - Helper Rewards,Staff Shop,,
,1804,Guardian Shadow,Item Shop,AC Shop,Requires 2616
,1805,Dark Ultra OmniKnight,Item Shop,AC Shop,Requires 31777
,1806,Dark Ultra OmniKnight,Item Shop,AC Shop,Requires 31767
,1807,Digital Archfiend DoomLord,Item Shop,AC Shop,Requires 35397
,1808,GlacialFrost Elf Upgrade Bonus,Badge Shop,,
,1809,Frostval the 13th Collection,Item Shop,AC Shop,Requires 51879
,1810,NeOni Mini Collection,Seasonal Shop,,Varies
,1811,Frost Dracolich Rider LQS,Badge Shop,,LQS
,1812,Winter Dracolich House Shop,Badge Shop,,LQS
,1813,Golden Royal Knight LQS,Badge Shop,,LQS
,1814,Epic Frost Weapon Pack LQS,Badge Shop,,LQS
,1815,FrozenSoul Merge Shop,Seasonal Shop,Merge Shop,
,1816,Quibble's Seasonal (Frostval),Seasonal Shop,,
,1817,ArchFiend's 2020 Birthday Collection,Item Shop,,Requires 52593
,1818,Vampiric Knight Upgrade Bonus,Badge Shop,,
,1819,Crag's Gem Merge Shop,Reputation Shop,Merge Shop,
,1820,ArchFiend Warlord Merge,Merge Shop,,
,1821,Cubic Zirconia of Noogalth,Rare Shop,,
,1822,Fiends of Apocalypse of Print,Promo Shop,,
,1823,Underworld Followers Print,Promo Shop,,
,1824,Followers and Fiends Print Combo,Promo Shop,,
,1825,Darkon's Underworld Complete,Promo Shop,,
,1826,Elemental Treasure Chest,Normal Shop,,
,1827,Artist Showcase: Crulon,Normal Shop,,
,1828,Artist Showcase: Arlette,Normal Shop,,
,1829,Arlette's Artist Alley House Shop,House Shop,,
,1830,Casparilla's Merge,Rare Shop,Merge Shop,
,1831,Darkon's Merge,Merge Shop,,
,1832,Mythsong War Merge,Merge Shop,,
,1833,Beleen's Gifts,Seasonal Shop,Merge Shop,
,1834,Duality Battlemage Upgrade,Badge Shop,,
,1835,Gems of Love,Seasonal Shop,Merge Shop,
,1836,Kotaro's Crystal Merge,Rare Shop,Merge Shop,
,1837,Breaking Benjamin Rares,Rare Shop,,
,1838,Breaking Benjamin Class Merge,Rare Shop,Merge Shop,
,1839,Hero's Haute Couture,Seasonal Shop,,
,1840,Abyssal Heretic,Badge Shop,,
,1841,Abyssal Merge,Seasonal Shop,Merge Shop,
,1842,SoulEater's 2020 Collection,Item Shop,,Requires 53670
,1843,SoulEater's Collection Chest,Rare Shop,,
,1844,Dage 50%,Member Shop,,
,1845,Shrade 50%,Member Shop,,
,1846,Dark Carnival Sales,Seasonal Shop,,
,1847,Dark Carnival Rares,Rare Shop,,
,1848,Bear Necessities,Rare Shop,,
,1849,Ubear Merge,Merge Shop,,
,1850,Voidborn of Nulgath,Badge Shop,,
,1851,Ubear Token,Normal Shop,,
,1852,LIMFT Token,Normal Shop,,
,1853,Galactic Shadow Commander,Badge Shop,,
,1854,Hollowborn ShadowRaptor,Badge Shop,,
,1855,Chronomancer Paladin Upgrade Bonus,Badge Shop,,
,1856,NectroTech Knight,Badge Shop,,
,1857,PaladinSlayer Naval Upgrade,Badge Shop,,
,1858,Chaos DragonRider Upgrade,Badge Shop,,
,1859,Apocalyptic LichKing Upgrade,Badge Shop,,
,1860,DeathKnight Overlord,Badge Shop,,
,1861,12th Upholder,Badge Shop,,
,1862,Hall of Classes Merge,Staff Shop,,"Unreleased, Duplicate, See 1876"
,1863,DREAMERS Rares,Rare Shop,,
,1864,DREAMERS Merge,Rare Shop,Merge Shop,
,1865,Crypthacker LQS,Badge Shop,,LQS
,1866,DoomKnight Merch LQS,Badge Shop,,LQS
,1867,Grave's End LQS,Badge Shop,,LQS
,1868,12 Years Played,Badge Shop,,
,1869,11 Years Membership,Badge Shop,,
,1870,"1,000,000 ACs",Badge Shop,,
,1871,Featured Collection Chest,Seasonal Shop,AC Shop,Reused for multiple chests
,1872,Dark Alliance Merge,Merge Shop,,
,1873,Candyshell Merge,Seasonal Shop,Merge Shop,
,1874,Mawa's Stand,Seasonal Shop,Merge Shop,
,1875,Hall of Classes Gear,Normal Shop,,
,1876,Hall of Classes Merge,Merge Shop,,
,1877,Blood Titan Class,AC Shop,,AC Blood Titan
,1878,Barber Class,Normal Shop,,
,1879,DragonSlayer Class,Normal Shop,,
,1880,Ranger Class,Reputation Shop,,Rep and AC Ranger
,1881,Bard Class,Reputation Shop,,Rep Bard
,1882,Thief of Hours,Reputation Shop,,Rep and AC Thief of Hours
,1883,Blood Ancient Class,Member Shop,AC Shop,Blood Ancient AC
,1884,Yulgar's Burgers,Merge Shop,,
,1885,Spicy Shop,AC Shop,,
,1886,Byrodax Merge,Merge Shop,,
,1887,Hollowborn Merge,Merge Shop,,
,1888,Hollowborn Shop,Normal Shop,,
,1889,Shadowrealm Merge,Reputation Shop,Merge Shop,
,1890,Chaos Militia Merge,Reputation Shop,Merge Shop,
,1891,Summer Days,Seasonal Shop,,
,1892,Surf n' Skate,Seasonal Shop,,
,1893,Beachin' Swimwear,Seasonal Shop,,
,1894,Summer Styles,Seasonal Shop,,
,1895,Summer Gear,Seasonal Shop,,
,1896,Pride Shop,Normal Shop,,
,1897,Paladin TreasureHunter,Reputation Shop,Merge Shop,
,1898,Sweet Summer Collection,Item Shop,,Requires 55581
,1899,Doom Legacy Merge,Merge Shop,,
,1900,DoomKnight Mech LQS Mem,Badge Shop,,LQS
,1901,Rangda Merge,Seasonal Shop,Merge Shop,
,1902,Techfortress War Merge,Merge Shop,,
,1903,Mindbreaker Armory,Reputation Shop,,
,1904,Mindbreaker Weapons,Reputation Shop,,
,1905,Somnian Pet Shop,Reputation Shop,Member Shop,
,1906,Somnian House Shop,Reputation Shop,House Shop,
,1907,WyvernRider Guard,AC Shop,,
,1908,WyvernRider Pack,AC Shop,,
,1909,Celestial Past Merge,Merge Shop,,
,1910,Trickster's Gifts,Seasonal Shop,Merge Shop,
,1911,Brightforest Merge,Merge Shop,,
,1912,Eridani Merge,Merge Shop,,
,1913,Mogloween 2020 Rares,Rare Shop,,
,1914,Crownsreach Defense Merge,Merge Shop,,
,1915,Crownsreach 50% Chest,Merge Shop,,
,1916,Crownsreach Defense Shop,AC Shop,,
,1917,Shadow of Chaos Merge,Merge Shop,,
,1918,2020 Pirate Collection,Item Shop,AC Shop,Requires 56480
,1919,Legendary Naval Top Hats,Member Shop,Merge Shop,
,1920,Cysero's Gear,Seasonal Shop,,
,1921,Brightshadow Merge,Merge Shop,,
,1922,12th Anniversary Event Shop,Rare Shop,,
,1923,12th Anniversary Collection,Item Shop,AC Shop,Requires 57024
,1924,Aspiring Necromancer,Seasonal Shop,Merge Shop,
,1925,Darkon's Madness Print,Promo Shop,,
,1926,Gachapon Merge,Merge Shop,,
,1927,ContractKeeper of Nulgath,Badge Shop,,
,1928,Akiban Blademaster,Badge Shop,,
,1929,Beast of the Legion Upgrade,Badge Shop,,
,1930,Vanguard of Nulgath,Badge Shop,,
,1931,Galactic Generals Upgrade,Badge Shop,,
,1932,FireLord Summoner,Badge Shop,,
,1933,Galactic Chronomancer,Badge Shop,,
,1934,ShadowFire Lord,Badge Shop,,
,1935,Necrotic Pirate Commander,Badge Shop,,
,1936,Royal Swordhaven Mage,Badge Shop,,
,1937,Apocalyptic Dracolich,Badge Shop,,
,1938,Frostborn Warlord,Badge Shop,,
,1939,Nightmare Harvest Merge,Seasonal Shop,Merge Shop,
,1940,Dark Holiday 2020 Collection,Item Shop,AC Shop,Requires 57713
,1941,Nightmare Harvest War,Seasonal Shop,Merge Shop,
,1942,Nightmare War Chest,Seasonal Shop,AC Shop,
,1943,Black Friday 2020,Rare Shop,,
,1944,2021 Calendar,Promo Shop,,
,1945,2021 Collector's Calendar,Promo Shop,,
,1946,Bow-Jangles Merge,Seasonal Shop,Merge Shop,
,1947,Northern Defense Rep Frostval,Seasonal Shop,Reputation Shop,
,1948,Ice Dungeon Merge,Merge Shop,,
,1949,Conflagration Blade,AC Shop,,
,1950,Frostval Collection 2020,Item Shop,AC Shop,Requires 58294
,1951,Swindle's Ripoff Emporium,Merge Shop,,
,1952,Blizzy's Merge,Seasonal Shop,Merge Shop,
,1953,Winter Horror War Rewards,Seasonal Shop,Merge Shop,
,1954,Winter Horror War Chest,Seasonal Shop,AC Shop,
,1955,FrozenSoul Chaos Champion,Badge Shop,,LQS
,1956,PermaFrost Chaos Champion,Badge Shop,,LQS
,1957,Frostlorn Warrior,Badge Shop,,LQS
,1958,FrozenSoul Chaos Twins,Badge Shop,,LQS
,1959,Frostlorn Weapon Pack,Badge Shop,,LQS
,1960,Time Ritual Merge,Staff Shop,Merge Shop,
,1961,Dreampalace Merge,Merge Shop,,
,1962,Originul Merge,Merge Shop,,
,1963,Nulgath Collection 2021,Item Shop,,Requires 58884
,1964,Nulgath 2021 Print,Promo Shop,,
,1965,Fiendshard Merge,Merge Shop,,
,1966,Beleen's Pretty Pink Gear,AC Shop,,
,1967,Chaos Librarium Merge,Merge Shop,,
,1968,DragonSoul Shinobi,Merge Shop,,
,1969,Moon Cursed Stryche,Promo Shop,,
,1970,Moon Cursed Marchosias,Promo Shop,,
,1971,Classic Chunin 1,Item Shop,,Requires 14385
,1972,Classic Chunin 2,Item Shop,,Requires 14386
,1973,Love Spell Merge,Seasonal Shop,Merge Shop,
,1974,Love Spell House,Seasonal Shop,House Shop,
,1975,Etokoun Merge,Seasonal Shop,Merge Shop,
,1976,Dance Guru Merge,Seasonal Shop,Merge Shop,
,1977,Dage 2021 Collection,Item Shop,AC Shop,Requires 59718
,1978,Dage Collection Chest,Seasonal Shop,AC Shop,
,1979,Pooka's Gifts,Seasonal Shop,Merge Shop,
,1980,Seven Circles Merge,Merge Shop,,
,1981,,No Shop,,
,1982,Dage's Dark Birthday Rares,Seasonal Shop,,
,1983,Seven Circles War Chest,AC Shop,,
,1984,Seven Circles War Merge,Merge Shop,,
,1985,Vulcar's Merge,Merge Shop,,
,1986,Astravian AC Shop,AC Shop,,
,1987,Astravian Merge,Merge Shop,,
,1988,GardenQuest Merge,Seasonal Shop,Merge Shop,
,1989,Fool's Gold Shop,Seasonal Shop,Merge Shop,
,1990,Adam1a1 Merge,Merge Shop,,
,1991,Artist Showcase: Adam1a1,Normal Shop,,
,1992,Super Death Merge,Merge Shop,,
,1993,Super Death AC Shop,AC Shop,,
,1994,Trissa's Shop,Normal Shop,,
,1995,Fabyo Merge,Merge Shop,,
,1996,Fabyo AC,AC Shop,,
,1997,ForestReach Merge,Merge Shop,,
,1998,Murder Moon Merge,Seasonal Shop,Merge Shop,
,1999,DeepForest Merge,Merge Shop,,
,2000,Ancient Shadows Collection,Item Shop,AC Shop,Requires 60396
